name,address,phone_number,url,maps_link
Roland Natural Health (Roland),"309 E Ray Fine Blvd  Roland, OK",(918) 503-4053,https://dutchie.com/dispensary/roland-natural-health-roland/info,https://www.google.com/maps?q=309%20E%20Ray%20Fine%20Blvd%2C%20Roland%2C%20OK%2074954
Rainforest Cannabis,"726 Water St  Ketchikan, AK",(907) 247-9333,https://dutchie.com/dispensary/rainforest-cannabis/info,https://www.google.com/maps?q=726%20Water%20St%2C%20Ketchikan%2C%20AK%2099901
Osage Creek Dispensary,"101 E Van Buren  Eureka Springs, AR",(479) 431-4897,https://dutchie.com/dispensary/osage-creek-dispensary/info,https://www.google.com/maps?q=101%20E%20Van%20Buren%2C%20Eureka%20Springs%2C%20AR%2072632
GDF - Van Buren,"1705 Fayetteville Rd  Van Buren, AR",(479) 279-0146,https://dutchie.com/dispensary/good-day-farms-van-buren/info,https://www.google.com/maps?q=1705%20Fayetteville%20Rd%2C%20Van%20Buren%2C%20AR%2072956
The Greenery,"4410 Phoenix Ave  Fort Smith, AR",(479) 551-2235,https://dutchie.com/dispensary/fort-cannabis-co/info,https://www.google.com/maps?q=4410%20Phoenix%20Ave%2C%20Fort%20Smith%2C%20AR%2072903
Pocola Natural Health,"1510 Folsom Blvd  Pocola, OK",(539) 245-1041,https://dutchie.com/dispensary/pocola-natural-health/info,https://www.google.com/maps?q=1510%20Folsom%20Blvd%2C%20Pocola%2C%20OK%2074902
GDF - Hensley,"26225 US-167  Hensley, AR",(501) 993-0617,https://dutchie.com/dispensary/Good-Day-Farm-Hensley/info,https://www.google.com/maps?q=26225%20US-167%2C%20Hensley%2C%20AR%2072065
Greenlight Dispensary - Little Rock,"7303 Kanis Rd  Little Rock, AR",(501) 236-6906,https://dutchie.com/dispensary/curaleaf-ar-little-rock/info,https://www.google.com/maps?q=7303%20Kanis%20Rd%2C%20Little%20Rock%2C%20AR%2072204
Nirvana Cannabis- Apache Junction,"11343 E Apache Trail  Apache Junction, AZ",(480) 498-4466,https://dutchie.com/dispensary/az-flower-power-nirvana-aj/info,https://www.google.com/maps?q=11343%20E%20Apache%20Trail%2C%20Apache%20Junction%2C%20AZ%2085120
Greenlight Dispensary - West Memphis,"3600 N Service Rd  West Memphis, AR",(870) 497-2175,https://dutchie.com/dispensary/west-memphis-dispensary1/info,https://www.google.com/maps?q=3600%20N%20Service%20Rd%2C%20West%20Memphis%2C%20AR%2072301
Greenlight Dispensary - Helena,"2000 Martin Luther King Jr Dr  Helena-West Helena, AR",(870) 714-6119,https://dutchie.com/dispensary/greenlight-dispensary-helena1/info,https://www.google.com/maps?q=2000%20Martin%20Luther%20King%20Jr%20Dr%2C%20Helena-West%20Helena%2C%20AR%2072342
Story Bisbee,"1191 S Naco Hwy  Bisbee, AZ",(520) 727-7754,https://dutchie.com/dispensary/story-of-arizona-bisbee/info,https://www.google.com/maps?q=1191%20S%20Naco%20Hwy%2C%20Bisbee%2C%20AZ%2085603
GDF - Texarkana,"4423 E Broad St  Texarkana, AR",(870) 621-2030,https://dutchie.com/dispensary/red-river-remedy/info,https://www.google.com/maps?q=4423%20E%20Broad%20St%2C%20Texarkana%2C%20AR%2071854
GDF - Little Rock (Chenal Pkwy),"11600 Chenal Pkwy  Little Rock, AR",(501) 441-0944,https://dutchie.com/dispensary/good-day-farm/info,https://www.google.com/maps?q=11600%20Chenal%20Pkwy%2C%20Little%20Rock%2C%20AR%2072211
Harvest of Apache Junction,"1985 Apache Trail # 4 Apache Junction, AZ",(480) 582-8521,https://dutchie.com/dispensary/svaccha-llc-nirvana-center-apache-junction/info,https://www.google.com/maps?q=1985%20Apache%20Trail%2C%20%23%204%2C%20Apache%20Junction%2C%20AZ%2085120
GDF - Monticello,"329 US-425  Monticello, AR",(870) 412-1244,https://dutchie.com/dispensary/good-day-farm-monticello/info,https://www.google.com/maps?q=329%20US-425%2C%20Monticello%2C%20AR%2071655
Health for Life - Crismon,"9949 E Apache Trail  Mesa, AZ",(480) 400-1170,https://dutchie.com/dispensary/health-for-life-crimson/info,https://www.google.com/maps?q=9949%20E%20Apache%20Trail%2C%20Mesa%2C%20AZ%2085207
Health for Life - McDowell,"5550 E McDowell Rd  Mesa, AZ",(480) 830-8251,https://dutchie.com/dispensary/health-for-life-mcdowell/info,https://www.google.com/maps?q=5550%20E%20McDowell%20Rd%2C%20Mesa%2C%20AZ%2085215
Superfarm - Texarkana,"410 Realtor Ave  Texarkana, AR",(870) 621-2044,https://dutchie.com/dispensary/superfarm-texarkana/info,https://www.google.com/maps?q=410%20Realtor%20Ave%2C%20Texarkana%2C%20AR%2071854
The Mint - 75th Ave,"1211 N 75th Ave  Phoenix, AZ",(480) 749-6468,https://dutchie.com/dispensary/the-mint-75th-ave/info,https://www.google.com/maps?q=1211%20N%2075th%20Ave%2C%20Phoenix%2C%20AZ%2085043
Curaleaf (AZ) - 83rd Dispensary,"2175 N 83rd Ave  Phoenix, AZ",(623) 244-5349,https://dutchie.com/dispensary/curaleaf-az-83rd-dispensary/info,https://www.google.com/maps?q=2175%20N%2083rd%20Ave%2C%20Phoenix%2C%20AZ%2085035
GDF - Little Rock (Cantrell Rd),"3720 Cantrell Rd  Little Rock, AR",(501) 263-7519,https://dutchie.com/dispensary/Good-Day-Farm-Cantrell/info,https://www.google.com/maps?q=3720%20Cantrell%20Rd%2C%20Little%20Rock%2C%20AR%2072202
Curaleaf (AZ) - Youngtown,"2175 N 83rd Ave  Phoenix, AZ",(623) 444-5977,https://dutchie.com/dispensary/curaleaf-az-youngtown/info,https://www.google.com/maps?q=2175%20N%2083rd%20Ave%2C%20Phoenix%2C%20AZ%2085035
Health for Life - Ellsworth,"7343 S 89th Pl  Mesa, AZ",(480) 888-0247,https://dutchie.com/dispensary/health-for-life-ellsworth/info,https://www.google.com/maps?q=7343%20S%2089th%20Pl%2C%20Mesa%2C%20AZ%2085212
Story Tolleson,"9897 W McDowell Rd  Tolleson, AZ",(623) 301-8563,https://dutchie.com/dispensary/the-phoenix-delivery/info,https://www.google.com/maps?q=9897%20W%20McDowell%20Rd%2C%20Tolleson%2C%20AZ%2085353
Herbal Wellness Center - West,"4126 W Indian School Rd  Phoenix, AZ",(602) 635-3502,https://dutchie.com/dispensary/herbal-wellness-center-west/info,https://www.google.com/maps?q=4126%20W%20Indian%20School%20Rd%2C%20Phoenix%2C%20AZ%2085019
Harvest of Avondale,"3828 S Vermeersch Rd  Avondale, AZ",(623) 792-5032,https://dutchie.com/dispensary/harvest-of-avondale/info,https://www.google.com/maps?q=3828%20S%20Vermeersch%20Rd%2C%20Avondale%2C%20AZ%2085323
Harvest of Casa Grande,"1860 N Salk Dr  Casa Grande, AZ",(520) 350-9880,https://dutchie.com/dispensary/harvest-of-case-grande/info,https://www.google.com/maps?q=1860%20N%20Salk%20Dr%2C%20Casa%20Grande%2C%20AZ%2085122
All Greens,"10032 W Bell Rd  Sun City, AZ",(623) 214-0801,https://dutchie.com/dispensary/all-greens1/info,https://www.google.com/maps?q=10032%20W%20Bell%20Rd%2C%20Sun%20City%2C%20AZ%2085351
Nirvana Cannabis - Phoenix (35th),"2 N 35th Ave  Phoenix, AZ",(602) 730-3236,https://dutchie.com/dispensary/nirvana-center-tempe-mmj-apothecary/info,https://www.google.com/maps?q=2%20N%2035th%20Ave%2C%20Phoenix%2C%20AZ%2085009
Nirvana Cannabis - West Phoenix (75th),"2330 N 75th Ave  Phoenix, AZ",(602) 786-7988,https://dutchie.com/dispensary/nirvana-75th-yavapai-herbal-services/info,https://www.google.com/maps?q=2330%20N%2075th%20Ave%2C%20Phoenix%2C%20AZ%2085035
Deeply Rooted Boutique Cannabis Company,"11725 Grand Ave  El Mirage, AZ",(623) 252-0004,https://dutchie.com/dispensary/AZ-Deeply-Rooted/info,https://www.google.com/maps?q=11725%20Grand%20Ave%2C%20El%20Mirage%2C%20AZ%2085335
Ponderosa - Glendale,"9240 W Northern Ave  Glendale, AZ",(623) 877-3934,https://dutchie.com/dispensary/ponderosa-releaf/info,https://www.google.com/maps?q=9240%20W%20Northern%20Ave%2C%20Glendale%2C%20AZ%2085305
All Greens (Adult-Use),"10032 W Bell Rd  Sun City, AZ",(623) 214-0801,https://dutchie.com/dispensary/all-greens-adult-use/info,https://www.google.com/maps?q=10032%20W%20Bell%20Rd%2C%20Sun%20City%2C%20AZ%2085351
Curaleaf (AZ) - Peoria,"8970 N 91st Ave  Peoria, AZ",(623) 233-1010,https://dutchie.com/dispensary/curaleaf-peoria/info,https://www.google.com/maps?q=8970%20N%2091st%20Ave%2C%20Peoria%2C%20AZ%2085345
Harvest of Peoria,"9275 W Peoria Ave  Peoria, AZ",(623) 878-5954,https://dutchie.com/dispensary/harvest-of-peoria/info,https://www.google.com/maps?q=9275%20W%20Peoria%20Ave%2C%20Peoria%2C%20AZ%2085345
Arizona Organix,"5301 W Glendale Ave  Glendale, AZ",(623) 937-2752,https://dutchie.com/dispensary/arizona-organix/info,https://www.google.com/maps?q=5301%20W%20Glendale%20Ave%2C%20Glendale%2C%20AZ%2085301
Story Grand Glendale,"6840 Grand Ave  Glendale, AZ",(623) 301-8478,https://dutchie.com/dispensary/natures-medicines-glendale-med/info,https://www.google.com/maps?q=6840%20Grand%20Ave%2C%20Glendale%2C%20AZ%2085301
Ponderosa Chandler,"318 S Bracken Ln  Chandler, AZ",(480) 506-0403,https://dutchie.com/dispensary/florence-store-location/info,https://www.google.com/maps?q=318%20S%20Bracken%20Ln%2C%20Chandler%2C%20AZ%2085224
The Mint - Mesa,"330 E Southern Ave  Mesa, AZ",(480) 749-6468,https://dutchie.com/dispensary/the-mint-dispensary-mesa/info,https://www.google.com/maps?q=330%20E%20Southern%20Ave%2C%20Mesa%2C%20AZ%2085210
Harvest of South Mesa,"938 E Juanita Ave  Mesa, AZ",(480) 272-9888,https://dutchie.com/dispensary/harvest-of-mesa/info,https://www.google.com/maps?q=938%20E%20Juanita%20Ave%2C%20Mesa%2C%20AZ%2085204
Story South Chandler,"26427 S Arizona Ave  Chandler, AZ",(602) 903-3665,https://dutchie.com/dispensary/oasis-cannabis-south/info,https://www.google.com/maps?q=26427%20S%20Arizona%20Ave%2C%20Chandler%2C%20AZ%2085248
Harvest of Phoenix – Alhambra,"2630 W Indian School Rd  Phoenix, AZ",(480) 209-1804,https://dutchie.com/dispensary/urban-green-house/info,https://www.google.com/maps?q=2630%20W%20Indian%20School%20Rd%2C%20Phoenix%2C%20AZ%2085017
Harvest of Tempe,"710 W Elliot Rd  Tempe, AZ",(480) 777-2100,https://dutchie.com/dispensary/harvest-of-tempe/info,https://www.google.com/maps?q=710%20W%20Elliot%20Rd%2C%20Tempe%2C%20AZ%2085284
Story McDowell,"2439 W McDowell Rd  Phoenix, AZ",(602) 669-3917,https://dutchie.com/dispensary/natures-medicines-phoenix-med/info,https://www.google.com/maps?q=2439%20W%20McDowell%20Rd%2C%20Phoenix%2C%20AZ%2085009
The Mint - Tempe,"5210 S Priest Dr  Tempe, AZ",(480) 749-6468,https://dutchie.com/dispensary/the-mint-dispensary-tempe/info,https://www.google.com/maps?q=5210%20S%20Priest%20Dr%2C%20Tempe%2C%20AZ%2085283
Curaleaf (AZ) - Gilbert,"175 S Hamilton Pl  Gilbert, AZ",(480) 361-0078,https://dutchie.com/dispensary/curaleaf-gilbert/info,https://www.google.com/maps?q=175%20S%20Hamilton%20Pl%2C%20Gilbert%2C%20AZ%2085233
Story North Chandler,"17006 S Weber Dr  Chandler, AZ",(480) 626-7333,https://dutchie.com/dispensary/oasis-cannabis-north/info,https://www.google.com/maps?q=17006%20S%20Weber%20Dr%2C%20Chandler%2C%20AZ%2085226
Harvest of Chandler,"13433 E Chandler Blvd  Chandler, AZ",(480) 439-7771,https://dutchie.com/dispensary/harvest-of-chandler/info,https://www.google.com/maps?q=13433%20E%20Chandler%20Blvd%2C%20Chandler%2C%20AZ%2085225
The Good Dispensary,"1842 W Broadway Rd  Mesa, AZ",(480) 900-8042,https://dutchie.com/dispensary/the-good-dispensary/info,https://www.google.com/maps?q=1842%20W%20Broadway%20Rd%2C%20Mesa%2C%20AZ%2085202
Harvest of Baseline,"1821 W Baseline Rd  Guadalupe, AZ",(623) 404-1420,https://dutchie.com/dispensary/harvest-of-baseline/info,https://www.google.com/maps?q=1821%20W%20Baseline%20Rd%2C%20Guadalupe%2C%20AZ%2085283
Cookies - Tempe,"2715 S Hardy Dr  Tempe, AZ",(480) 378-6917,https://dutchie.com/dispensary/cookies-tempe/info,https://www.google.com/maps?q=2715%20S%20Hardy%20Dr%2C%20Tempe%2C%20AZ%2085282
Curaleaf (AZ) - Queen Creek,"18423 E San Tan Blvd  Queen Creek, AZ",(480) 550-9121,https://dutchie.com/dispensary/curaleaf-az-queen-creek/info,https://www.google.com/maps?q=18423%20E%20San%20Tan%20Blvd%2C%20Queen%20Creek%2C%20AZ%2085142
Curaleaf (AZ) - Glendale,"8160 W Union Hills Dr  Glendale, AZ",(623) 385-1310,https://dutchie.com/dispensary/curaleaf-az-glendale/info,https://www.google.com/maps?q=8160%20W%20Union%20Hills%20Dr%2C%20Glendale%2C%20AZ%2085308
Harvest of North Mesa,"1150 W McLellan Rd  Mesa, AZ",(480) 561-0388,https://dutchie.com/dispensary/harvest-of-north-mesa/info,https://www.google.com/maps?q=1150%20W%20McLellan%20Rd%2C%20Mesa%2C%20AZ%2085201
Curaleaf (AZ) - 48th Street,"4730 S 48th St  Phoenix, AZ",(602) 807-5005,https://dutchie.com/dispensary/curaleaf-az-48th/info,https://www.google.com/maps?q=4730%20S%2048th%20St%2C%20Phoenix%2C%20AZ%2085040
Story Bell Glendale,"6676 W Bell Rd  Glendale, AZ",(623) 295-1788,https://dutchie.com/dispensary/oasis-cannabis-glendale/info,https://www.google.com/maps?q=6676%20W%20Bell%20Rd%2C%20Glendale%2C%20AZ%2085308
Curaleaf (AZ) - Phoenix,"4415 East Monroe Street  Phoenix, AZ",(602) 396-5757,https://dutchie.com/dispensary/curaleaf-phoenix/info,https://www.google.com/maps?q=4415%20East%20Monroe%20Street%2C%20Phoenix%2C%20AZ%2085034
Curaleaf (AZ) - Glendale East,"5558 W Bell Rd  Glendale, AZ",(602) 535-0999,https://dutchie.com/dispensary/curaleaf-az-glendale-east/info,https://www.google.com/maps?q=5558%20W%20Bell%20Rd%2C%20Glendale%2C%20AZ%2085308
Trulieve of Glendale,"13631 N 59th Ave  Glendale, AZ",(480) 531-1172,https://dutchie.com/dispensary/harvest-of-glendale/info,https://www.google.com/maps?q=13631%20N%2059th%20Ave%2C%20Glendale%2C%20AZ%2085304
Marigold Dispensary,"2601 W Dunlap Ave  Phoenix, AZ",(602) 900-4557,https://dutchie.com/dispensary/marigoldscannabis/info,https://www.google.com/maps?q=2601%20W%20Dunlap%20Ave%2C%20Phoenix%2C%20AZ%2085021
"Harvest of Phoenix, North Mountain","2017 W Peoria Ave  Phoenix, AZ",(602) 641-3670,https://dutchie.com/dispensary/harvest-of-phoenix/info,https://www.google.com/maps?q=2017%20W%20Peoria%20Ave%2C%20Phoenix%2C%20AZ%2085029
Nirvana Cannabis - Florence (Pinal),"700 N Pinal Pkwy Ave  Florence, AZ",(520) 542-3010,https://dutchie.com/dispensary/grunge-free-llc-nirvana-florence-2/info,https://www.google.com/maps?q=700%20N%20Pinal%20Pkwy%20Ave%2C%20Florence%2C%20AZ%2085132
Nirvana Cannabis - Florence (Main St),"105 S Main St  Florence, AZ",(520) 274-3653,https://dutchie.com/dispensary/arizona-tree-equity-2-nirvana-florence/info,https://www.google.com/maps?q=105%20S%20Main%20St%2C%20Florence%2C%20AZ%2085132
Curaleaf (AZ) - Bell,"17201 N 19th Ave  Phoenix, AZ",(602) 388-4400,https://dutchie.com/dispensary/curaleaf-az-bell/info,https://www.google.com/maps?q=17201%20N%2019th%20Ave%2C%20Phoenix%2C%20AZ%2085023
Clifton Bakery,"700 Coronado Blvd  Clifton, AZ",(928) 770-9333,https://dutchie.com/dispensary/clifton-bakery/info,https://www.google.com/maps?q=700%20Coronado%20Blvd%2C%20Clifton%2C%20AZ%2085533
The Mint - Scottsdale,"8729 E Manzanita Dr  Scottsdale, AZ",(480) 659-9728,https://dutchie.com/dispensary/the-mint-scottsdale/info,https://www.google.com/maps?q=8729%20E%20Manzanita%20Dr%2C%20Scottsdale%2C%20AZ%2085258
Harvest of Scottsdale,"15190 N Hayden Rd  Scottsdale, AZ",(480) 948-3737,https://dutchie.com/dispensary/harvest-of-scottsdale/info,https://www.google.com/maps?q=15190%20N%20Hayden%20Rd%2C%20Scottsdale%2C%20AZ%2085260
Nirvana Cannabis Cottonwood,"675 AZ-89A  Cottonwood, AZ",(928) 237-5503,https://dutchie.com/dispensary/arizona-natural-pain-solutions-nirvana-cw/info,https://www.google.com/maps?q=675%20AZ-89A%2C%20Cottonwood%2C%20AZ%2086326
Noble Herb,"522 E Rte 66  Flagstaff, AZ",(928) 351-7775,https://dutchie.com/dispensary/noble-herb/info,https://www.google.com/maps?q=522%20E%20Rte%2066%2C%20Flagstaff%2C%20AZ%2086001
Harvest of Cottonwood,"2400 AZ-89A  Cottonwood, AZ",(928) 634-5233,https://dutchie.com/dispensary/harvest-of-cottonwood/info,https://www.google.com/maps?q=2400%20AZ-89A%2C%20Cottonwood%2C%20AZ%2086326
The Mint - Northern,"2444 W Northern Ave  Phoenix, AZ",(480) 749-6468,https://dutchie.com/dispensary/the-mint-northern/info,https://www.google.com/maps?q=2444%20W%20Northern%20Ave%2C%20Phoenix%2C%20AZ%2085021
"High Mountain Cannabis - High Mountain Health, LLC (Dispensary)","1250 S Plaza Wy A Flagstaff, AZ",(928) 774-5467,https://dutchie.com/dispensary/high-mountain-cannabis-high-mountain-health-llc-dispensary/info,https://www.google.com/maps?q=1250%20S%20Plaza%20Wy%2C%20A%2C%20Flagstaff%2C%20AZ%2086001
Phoenix Cannabis Co.,"16913 E Enterprise Dr  Fountain Hills, AZ",(480) 306-7399,https://dutchie.com/dispensary/Phoenix-Cannabis-Co/info,https://www.google.com/maps?q=16913%20E%20Enterprise%20Dr%2C%20Fountain%20Hills%2C%20AZ%2085268
Curaleaf (AZ) - Scottsdale,"16277 N Greenway Hayden Loop  Scottsdale, AZ",(602) 842-0020,https://dutchie.com/dispensary/curaleaf-az-scottsdale/info,https://www.google.com/maps?q=16277%20N%20Greenway%20Hayden%20Loop%2C%20Scottsdale%2C%20AZ%2085260
Trulieve of Scottsdale - Butherus,"7320 E Butherus Dr  Scottsdale, AZ",(480) 575-1245,https://dutchie.com/dispensary/harvest-of-scottsdale-azns/info,https://www.google.com/maps?q=7320%20E%20Butherus%20Dr%2C%20Scottsdale%2C%20AZ%2085260
Ponderosa Florence,"363 N Main St  Florence, AZ",(480) 569-1395,https://dutchie.com/dispensary/ponderosa-480-license-holdings-llc-dispensary/info,https://www.google.com/maps?q=363%20N%20Main%20St%2C%20Florence%2C%20AZ%2085132
Curaleaf (AZ) - Camelback,"1040 E Camelback Rd  Phoenix, AZ",(602) 354-3094,https://dutchie.com/dispensary/curaleaf-az-camelback/info,https://www.google.com/maps?q=1040%20E%20Camelback%20Rd%2C%20Phoenix%2C%20AZ%2085014
Nirvana Cannabis - Downtown Phoenix 7th,"702 E Buckeye Rd  Phoenix, AZ",(602) 932-8865,https://dutchie.com/dispensary/yavapai-herbal-services-nirvana-7th-st/info,https://www.google.com/maps?q=702%20E%20Buckeye%20Rd%2C%20Phoenix%2C%20AZ%2085034
